PuzzleId,FEN,Moves,Rating,Themes
0FFpm,2r1r1k1/5ppp/pq2p3/1p1pP3/1P1R4/P1Q3P1/5P1P/4R1K1 b - - 0 27,b6c6 c3c6 c8c6 e1d1,1324,advantage endgame short
0GCsI,r1bqkb1r/pp1ppppp/2n2n2/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 2 3,d2d4 c5d4 f3d4 f6e4,1128,advantage opening short
0HKij,r1bqk2r/ppppbppp/2n2n2/4p3/2BPP3/2P2N2/PP3PPP/RNBQK2R b KQkq - 0 5,d7d6 c4f7 e8f7 d4e5,1432,advantage attack opening sacrifice short
0IYCw,5rk1/1p3pp1/p2p3p/3Pp3/4P3/1PNr2PP/P4PK1/R7 b - - 3 27,d3c3 a1c1 c3c1 a2a4,1140,advantage endgame short
0JSnD,r2qkbnr/pppb1ppp/2n1p3/3pP3/3P4/5N2/PPP1BPPP/RNBQK2R b KQkq - 2 5,f7f6 e5f6 g7f6 d1d3,1186,advantage opening short
0KP3c,rnbqkb1r/1p3ppp/p2ppn2/8/3NP3/2N5/PPP1BPPP/R1BQK2R w KQkq - 0 6,e4e5 d6e5 d4f5 e6f5,1296,advantage capture opening short
0LFuS,2r2rk1/pp3ppp/2n1pn2/q2p4/2PP4/P1PBPN2/4QPPP/R4RK1 w - - 4 13,c4d5 e6d5 d3h7 g8h7,1568,advantage attack middlegame sacrifice short
0Lp6G,r1bqkbnr/pppppppp/2n5/8/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 2 2,e7e5 d1h5 g7g6 h5e5,1084,advantage opening short
0MQzJ,r1b2rk1/pp1pqppp/2n2n2/2b1p3/4P3/1BN2N2/PPPP1PPP/R1BQ1RK1 w - - 6 6,d2d4 c5d4 f3d4 c6d4,1126,advantage capture middlegame short
0NhzR,r2q1rk1/ppp2ppp/2n1bn2/2bpp3/4P3/2PP1N2/PPB2PPP/RNBQ1RK1 w - - 2 7,d3d4 c5b4 e4e5 f6e4,1322,advantage middlegame short
0OZe8,r1bq1rk1/pp1n1ppp/2p1pn2/3p4/1bPP4/2NBPN2/PP3PPP/R1BQ1RK1 w - - 2 8,c4d5 e6d5 d3h7 g8h7,1554,advantage attack middlegame sacrifice short
0PW3V,r2qk2r/pp1b1ppp/2n1pn2/2pp4/1bPP4/2NBPN2/PP3PPP/R1BQK2R w KQkq - 2 7,a2a3 b4c3 b2c3 c5c4,1236,advantage opening short
0Q9Dv,r1bqk2r/pppp1ppp/2n2n2/2b5/2BpP3/5N2/PPP2PPP/RNBQ1RK1 w kq - 2 5,e4e5 d4d3 e5f6 d3c4,1418,advantage middlegame short
0RFwv,r3kb1r/pp1nqppp/2p1pn2/3p4/2PP4/2NBPN2/PP3PPP/R1BQK2R w KQkq - 2 7,c4d5 e6d5 d3h7 f6h7,1474,advantage attack middlegame sacrifice short
0SAcB,r2qkb1r/ppp2ppp/2n1bn2/3pp3/4P3/1B3N2/PPPP1PPP/RNBQ1RK1 w kq - 4 5,d2d4 e5d4 f3d4 c6d4,1118,advantage capture opening short
0THmz,r1b2rk1/ppqp1ppp/2n1pn2/2p5/4P3/2PP1N2/PPB2PPP/R1BQ1RK1 b - - 2 7,d7d5 e4d5 f6d5 d3d4,1200,advantage middlegame short
0UT1f,r2q1rk1/1bpnbppp/pp2pn2/3p4/2PP4/1PN1PN2/PBQ2PPP/R3KB1R w KQ - 2 9,c4d5 e6d5 f1d3 d5e4,1228,advantage middlegame short
0V9jM,r3kbnr/pp1bpppp/1qn5/2pp4/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 4 5,d4c5 b6c5 e2e4 d5e4,1158,advantage opening short
0WfSr,r1b1kbnr/ppppqppp/2n5/4p3/2BPP3/5N2/PPP2PPP/RNBQK2R b KQkq - 3 4,e5d4 f3d4 c6d4 d1d4,1010,advantage capture opening short
0XR60,r1bqk2r/pppp1ppp/2n2n2/4p3/1bB1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 4 4,a2a3 b4c3 d2c3 f6e4,1260,advantage opening short
0Yqz8,1r2r1k1/p4ppp/1p1b1n2/3p4/3P4/P1N1PN2/1P3PPP/R3R1K1 b - - 0 17,d6g3 f3e5 g3e5 d4e5,1128,advantage endgame short
0ZvHA,r1bq1rk1/pp1nbppp/2p1pn2/3p4/2PP4/2NBPN2/PP3PPP/R1BQ1RK1 w - - 2 8,c4d5 e6d5 d3h7 g8h7,1622,advantage attack middlegame sacrifice short
10T5m,2r3k1/pp2rppp/3b1n2/3P4/8/2N3P1/PP2PPBP/R4RK1 b - - 0 16,d6h2 g2f3 h2g3 f3a8,1618,advantage middlegame short
11MmU,r2q1rk1/1b1nbppp/p2ppn2/1p6/3NP3/1BN1BP2/PPPQ2PP/R4RK1 w - - 0 12,d4f5 e6f5 e4f5 d6d5,1462,advantage middlegame short
12Bc3,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 4 4,f8c5 c4f7 e8f7 f3e5,1580,advantage attack middlegame sacrifice short
13OKc,rn1qkb1r/pbpppppp/1p3n2/8/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 2 4,d4d5 f6d5 c4d5 b7d5,1068,advantage capture opening short
14Lcp,r1bqk2r/ppp1bppp/2n1pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,c4d5 e6d5 f1g2 c6b4,1180,advantage opening short
15Uq4,2r1r1k1/1bqnbppp/pp1ppn2/8/2PNP3/1PN1BP2/P1Q1B1PP/R4R1K b - - 5 14,c7c5 d4f5 e6f5 e4f5,1396,advantage middlegame short
16i0j,rnbqkbnr/ppp1pppp/8/3p4/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2,d5e4 d2d3 e4d3 f1d3,1000,advantage capture opening short
17S1C,r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,d2d4 e5d4 c1g5 h7h6,1340,advantage opening pin short
18qP7,r1bq1rk1/pp1n1ppp/2p1pn2/3p4/1bPP4/2NBPN2/PP3PPP/R1BQK2R w KQ - 2 8,c4d5 e6d5 d3h7 g8h7,1518,advantage attack middlegame sacrifice short
19PdO,r1b1kbnr/ppppqppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 2 4,d4e5 c6e5 f3e5 e7e5,1042,advantage capture opening short
1ACtL,r2qkbnr/ppp1pppp/2n5/3p1b2/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 2 4,e7e6 f1b5 f8d6 b5c6,1354,advantage opening pin short
1BsLD,r1bqk2r/pppp1ppp/2n2n2/4p3/1bBPP3/2N2N2/PPP2PPP/R1BQK2R b KQkq - 5 4,e5d4 e4e5 f6e4 d1e2,1364,advantage opening short
1Cg5H,r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,d2d4 e5d4 e4e5 f6e4,1232,advantage opening short
1DjXs,r2q1rk1/1ppbbppp/p1n1pn2/3p4/2PP4/1PN1PN2/PBQ2PPP/R3KB1R w KQ - 2 9,c4d5 e6d5 f1d3 c6b4,1388,advantage middlegame short
1ERDu,r2q1rk1/pp1nbppp/2p1pn2/3p4/2PP4/2NQPN2/PP3PPP/R1B2RK1 w - - 2 10,c4d5 e6d5 d3h7 g8h7,1502,advantage attack middlegame sacrifice short
1FmjB,r1bqk2r/pppp1ppp/2n2n2/4p3/1bB1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,d2d3 d7d5 e4d5 f6d5,1098,advantage opening short
1G3oN,rnbqkbnr/ppp1pppp/8/3pP3/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2,d5d4 f1b5 c7c6 b5c6,1478,advantage opening pin short
1HP1r,r1bqk2r/1ppp1ppp/p1n2n2/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 2 5,d2d4 e5d4 e4e5 f6g4,1336,advantage opening short
1IjnD,r2qr1k1/pppb1ppp/2n1bn2/3p4/3P4/1BN1PN2/PPP2PPP/R1BQ1RK1 w - - 6 8,d4d5 e6d5 b3d5 f6d5,1226,advantage capture middlegame short
1JlVi,r2qkb1r/ppp2ppp/2n1bn2/3pp3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 0 5,d2d4 e5d4 e4d5 f6d5,1218,advantage capture opening short
1KS2u,rn1qkbnr/ppp1pppp/8/3p1b2/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 2 3,e7e6 f3e5 b8d7 e5d7,1368,advantage opening short
1Lm7a,r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 b - - 5 5,a7a6 c4f7 f8f7 f3g5,1520,advantage attack middlegame sacrifice short
1MaqU,r1b1kbnr/ppppqppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,d2d4 e5d4 c1g5 f7f6,1378,advantage opening short
1N1h1,r1bqk2r/ppp2ppp/2n1pn2/3p4/1bPP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,c4d5 e6d5 f1g2 c8g4,1202,advantage opening short
1OhUK,r1bq1rk1/ppp1nppp/3p4/3Pp1B1/4P3/2N5/PPP2PPP/R2QKB1R b KQ - 0 8,a7a6 g5e7 d8e7 c3b5,1226,advantage fork middlegame short
1PEnq,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,d2d4 c5d4 f3d4 e7e5,1148,advantage opening short
1QfRh,r1bqkbnr/pppp1ppp/2n5/4p3/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq - 2 3,e5f4 g1f3 d7d5 e4d5,1158,advantage opening short
1RYjE,r1bqk2r/pppp1ppp/2n2n2/2b1p3/2BPP3/5N2/PPP2PPP/RNBQK2R b KQkq - 3 4,e5d4 e4e5 d4d3 e5f6,1404,advantage middlegame short
1SJQO,r1bq1rk1/ppppbppp/2n2n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 w - - 6 5,d2d4 e5d4 f3d4 c6d4,1128,advantage capture middlegame short
1Tivk,r1bqkb1r/ppp2ppp/2np1n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,d2d4 e5d4 c4f7 e8f7,1504,advantage capture opening sacrifice short
1URjC,r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 2 4,d7d6 c1g5 c8e6 f3d4,1290,advantage opening short
1VWsM,r1bqkb1r/pp1p1ppp/2n1pn2/2p5/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 4,d4d5 e6d5 c4d5 f6d5,1074,advantage capture opening short
1WS4a,r2qk2r/ppp1bppp/2n1bn2/3pp3/4P3/1B3N2/PPPP1PPP/RNBQ1RK1 w kq - 4 6,d2d4 e5d4 e4d5 f6d5,1204,advantage capture opening short
1XUhB,rnb1kbnr/pppppppp/5q2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 2 3,d2d4 f6b6 c2c3 b6b2,1388,advantage opening short
1YQbZ,2r3k1/p3bppp/1p2pn2/3rN3/8/1P4P1/P3PPBP/R2R2K1 b - - 0 19,d5e5 g2a8 e7b4 a8e4,1610,advantage middlegame short
1ZaLM,r1bqkb1r/pppp1ppp/2n2n2/4p3/2BPP3/5N2/PPP2PPP/RNBQK2R b KQkq - 3 3,e5d4 e4e5 f6g4 c4f7,1530,advantage attack opening sacrifice short
20x9E,r1bqk2r/ppp1bppp/2n1pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,c4d5 e6d5 f1g2 h7h6,1180,advantage opening short
21GXK,r1b1k2r/ppppbppp/2n2n2/1B2p1q1/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 5 5,b5c6 d7c6 f3e5 g5g2,1346,advantage opening short
22FoN,r1bq1rk1/ppp1bppp/2n2n2/3pp3/2PPP3/2N2N2/PP2BPPP/R1BQ1RK1 w - - 0 7,c4d5 e4d5 d5e4 f3e5,1196,advantage middlegame short
23Nhe,2rqr1k1/pp1b1ppp/2n1pn2/3p4/3P1B2/2NBPN2/PPQ2PPP/R4RK1 w - - 6 11,d3h7 g8h7 f4g5 f6g4,1664,advantage attack middlegame sacrifice short
24Ywi,r1bq1rk1/pp1n1ppp/2pbpn2/8/2PP4/2NBPN2/PP3PPP/R1BQ1RK1 w - - 0 9,d3h7 g8h7 f3g5 h7g6,1712,advantage attack middlegame sacrifice short
25Ggb,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,d2d4 e5d4 e4e5 d4d3,1342,advantage opening short
26LqF,r1bqkbnr/pppppppp/2n5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,d7d5 e4d5 d8d5 b1c3,1002,advantage opening short
27xYM,r2qkb1r/pp1bpppp/2np1n2/2p5/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,d4d5 c6a5 f3d4 e7e5,1272,advantage opening short
28KwC,r1bqkbnr/ppp2ppp/2np4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,d2d4 e5d4 f3d4 c6d4,1044,advantage capture opening short
29sYL,r1bqkb1r/pppppppp/2n2n2/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 2 2,d7d5 e4d5 f6d5 c2c4,1062,advantage opening short
2AopR,r1bqk2r/ppp2ppp/2n1pn2/3p4/1bPP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 0 5,d5c4 f1c4 b4c3 b2c3,1072,advantage opening short
2BjHU,r2qkbnr/ppp1pppp/2n5/3p4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R b KQkq - 2 4,e7e6 f1b5 f8d6 b5c6,1370,advantage opening pin short
2CeAK,rnbqkbnr/ppp1pppp/8/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2,d5e4 d2d3 e4d3 f1d3,1006,advantage capture opening short
2D5oR,r1bqkbnr/pppppppp/2n5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,e7e5 d4e5 d7d6 e5d6,1018,advantage capture opening short
